estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos,vi
Bulo Bulo,2026-09-07 11:00:00,99,1.7,38,88,300,4.4
Bulo Bulo,2026-09-07 11:00:00,102,1.7,34,88,272,2.8
Bulo Bulo,2026-09-07 11:00:00,105,0.0,30,36,244,1.1
Bulo Bulo,2026-09-07 11:00:00,108,0.0,28,36,180,1.3
Bulo Bulo,2026-09-07 11:00:00,111,0.0,26,35,106,1.4
Camargo,2026-09-07 11:00:00,3,0.0,28,36,278,2.3
Camargo,2026-09-07 11:00:00,6,0.0,28,35,354,2.8
Camargo,2026-09-07 11:00:00,9,0.0,19,37,62,3.2
Camargo,2026-09-07 11:00:00,12,0.0,12,36,358,2.3
Camargo,2026-09-07 11:00:00,15,0.0,5,36,294,1.4
Camargo,2026-09-07 11:00:00,18,0.0,5,36,302,1.7
Camargo,2026-09-07 11:00:00,21,0.0,13,36,263,1.9
Camargo,2026-09-07 11:00:00,24,0.0,16,35,289,2.0
Camargo,2026-09-07 11:00:00,27,0.0,30,56,307,2.2
Camargo,2026-09-07 11:00:00,30,0.0,30,56,299,3.9
Camargo,2026-09-07 11:00:00,33,0.0,20,36,283,5.6
Camargo,2026-09-07 11:00:00,36,0.0,12,37,293,3.8
Camargo,2026-09-07 11:00:00,39,0.0,5,36,303,2.0
Camargo,2026-09-07 11:00:00,42,0.0,5,27,251,2.3
Camargo,2026-09-07 11:00:00,45,0.0,12,27,279,2.9
Camargo,2026-09-07 11:00:00,48,0.0,18,27,279,6.2
Camargo,2026-09-07 11:00:00,51,0.0,29,36,270,9.5
Camargo,2026-09-07 11:00:00,54,0.0,29,37,280,7.0
Camargo,2026-09-07 11:00:00,57,0.0,15,36,280,4.4
Camargo,2026-09-07 11:00:00,60,0.0,8,35,353,2.8
Camargo,2026-09-07 11:00:00,63,0.0,6,55,59,1.3
Camargo,2026-09-07 11:00:00,66,0.0,6,55,300,2.8
Camargo,2026-09-07 11:00:00,69,0.0,11,56,288,2.6
Camargo,2026-09-07 11:00:00,72,0.0,16,56,290,5.3
Camargo,2026-09-07 11:00:00,75,0.0,27,56,290,8.0
Camargo,2026-09-07 11:00:00,78,0.0,27,56,298,6.1
Camargo,2026-09-07 11:00:00,81,0.0,14,56,306,4.2
Camargo,2026-09-07 11:00:00,84,0.0,6,56,306,3.8
Camargo,2026-09-07 11:00:00,87,0.0,6,25,303,3.5
Camargo,2026-09-07 11:00:00,90,0.0,9,27,307,4.3
Camargo,2026-09-07 11:00:00,93,0.0,11,26,290,4.6
Camargo,2026-09-07 11:00:00,96,0.0,16,25,280,6.8
Camargo,2026-09-07 11:00:00,99,0.0,21,26,268,9.2
Camargo,2026-09-07 11:00:00,102,0.0,17,26,339,6.5
Camargo,2026-09-07 11:00:00,105,0.0,13,36,43,3.8
Camargo,2026-09-07 11:00:00,108,0.0,10,36,59,3.2
Camargo,2026-09-07 11:00:00,111,0.0,8,26,75,2.6
Camiri,2026-09-07 11:00:00,3,0.0,25,26,78,2.4
Camiri,2026-09-07 11:00:00,6,0.0,25,26,57,1.8
Camiri,2026-09-07 11:00:00,9,0.0,23,26,29,1.1
Camiri,2026-09-07 11:00:00,12,0.0,19,25,333,0.9
Camiri,2026-09-07 11:00:00,15,0.0,16,26,273,0.8
Camiri,2026-09-07 11:00:00,18,0.0,16,27,297,0.7
Camiri,2026-09-07 11:00:00,21,0.0,19,25,310,0.5
Camiri,2026-09-07 11:00:00,24,0.0,23,26,350,2.2
Camiri,2026-09-07 11:00:00,27,0.0,28,36,20,4.0
Camiri,2026-09-07 11:00:00,30,0.0,28,36,330,2.5
Camiri,2026-09-07 11:00:00,33,0.0,25,26,271,1.0
Camiri,2026-09-07 11:00:00,36,0.0,21,27,260,1.3
Camiri,2026-09-07 11:00:00,39,0.0,16,26,247,1.6
Camiri,2026-09-07 11:00:00,42,0.0,16,26,270,1.3
Camiri,2026-09-07 11:00:00,45,0.0,21,26,270,1.0
Camiri,2026-09-07 11:00:00,48,0.0,27,26,340,2.0
