estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vi,vientos
Potosí Aeropuerto,2026-07-20 12:00:00,74,,,18.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,77,,,18.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,80,,,8.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,83,,,2.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,86,27.0,,,,
Potosí Aeropuerto,2026-07-20 12:00:00,89,25.0,0.0,-3.0,3.8,291.0
Potosí Aeropuerto,2026-07-20 12:00:00,92,25.0,0.0,2.0,3.7,291.0
Potosí Aeropuerto,2026-07-20 12:00:00,95,25.0,0.0,7.0,4.9,270.0
Potosí Aeropuerto,2026-07-20 12:00:00,98,26.0,0.0,18.0,6.3,239.0
Potosí Aeropuerto,2026-07-20 12:00:00,101,27.0,0.0,18.0,4.0,259.0
Potosí Aeropuerto,2026-07-20 12:00:00,104,25.0,0.0,6.0,1.8,279.0
Potosí Aeropuerto,2026-07-20 12:00:00,107,26.0,0.0,-2.0,2.1,310.0
Potosí Aeropuerto,2026-07-20 12:00:00,110,25.0,0.0,-2.0,2.4,340.0
Puerto Rico S,2026-07-20 08:00:00,3,36.0,0.0,31.0,2.2,337.0
Puerto Rico S,2026-07-20 08:00:00,6,55.0,0.0,34.0,2.8,330.0
Puerto Rico S,2026-07-20 08:00:00,9,56.0,0.0,34.0,2.2,350.0
Puerto Rico S,2026-07-20 08:00:00,12,36.0,0.0,30.0,1.5,10.0
Puerto Rico S,2026-07-20 08:00:00,15,36.0,0.0,28.0,1.4,360.0
Puerto Rico S,2026-07-20 08:00:00,18,36.0,0.0,24.0,1.3,340.0
Puerto Rico S,2026-07-20 08:00:00,21,35.0,0.0,24.0,1.3,330.0
Puerto Rico S,2026-07-20 08:00:00,24,36.0,0.0,27.0,1.3,340.0
Puerto Rico S,2026-07-20 08:00:00,27,36.0,0.0,31.0,1.8,340.0
Puerto Rico S,2026-07-20 08:00:00,30,56.0,0.0,34.0,2.2,340.0
Puerto Rico S,2026-07-20 08:00:00,33,56.0,0.0,34.0,1.6,330.0
Puerto Rico S,2026-07-20 08:00:00,36,36.0,0.0,30.0,1.1,314.0
Puerto Rico S,2026-07-20 08:00:00,39,36.0,0.0,27.0,0.9,284.0
Puerto Rico S,2026-07-20 08:00:00,42,36.0,0.0,24.0,0.7,248.0
Puerto Rico S,2026-07-20 08:00:00,45,36.0,0.0,24.0,0.8,343.0
Puerto Rico S,2026-07-20 08:00:00,48,35.0,0.0,27.0,0.6,323.0
Puerto Rico S,2026-07-20 08:00:00,51,37.0,0.0,32.0,1.6,330.0
Puerto Rico S,2026-07-20 08:00:00,54,56.0,0.0,35.0,2.7,336.0
Puerto Rico S,2026-07-20 08:00:00,57,55.0,0.0,35.0,2.0,346.0
Puerto Rico S,2026-07-20 08:00:00,60,36.0,0.0,31.0,1.2,347.0
Puerto Rico S,2026-07-20 08:00:00,63,35.0,0.0,28.0,1.2,333.0
Puerto Rico S,2026-07-20 08:00:00,66,36.0,0.0,25.0,1.2,310.0
Puerto Rico S,2026-07-20 08:00:00,69,36.0,0.0,25.0,0.6,317.0
Puerto Rico S,2026-07-20 08:00:00,72,36.0,0.0,27.0,0.5,295.0
Puerto Rico S,2026-07-20 08:00:00,75,36.0,0.0,30.0,0.9,324.0
Puerto Rico S,2026-07-20 08:00:00,78,89.0,1.5,34.0,1.1,343.0
Puerto Rico S,2026-07-20 08:00:00,81,89.0,2.0,34.0,1.8,286.0
Puerto Rico S,2026-07-20 08:00:00,84,36.0,0.0,29.0,2.4,177.0
Puerto Rico S,2026-07-20 08:00:00,87,37.0,0.0,25.0,2.0,170.0
Puerto Rico S,2026-07-20 08:00:00,90,36.0,0.0,25.0,1.6,163.0
Puerto Rico S,2026-07-20 12:00:00,14,,,22.0,,
Puerto Rico S,2026-07-20 12:00:00,17,,,22.0,,
Puerto Rico S,2026-07-20 12:00:00,38,,,22.0,,
Puerto Rico S,2026-07-20 12:00:00,41,,,22.0,,
Puerto Rico S,2026-07-20 12:00:00,50,,,34.0,,
Puerto Rico S,2026-07-20 12:00:00,53,,,34.0,,
Puerto Rico S,2026-07-20 12:00:00,62,,,22.0,,
Puerto Rico S,2026-07-20 12:00:00,65,,,22.0,,
Puerto Rico S,2026-07-20 12:00:00,74,,,32.0,,
Puerto Rico S,2026-07-20 12:00:00,77,,,32.0,,
Puerto Rico S,2026-07-20 12:00:00,86,26.0,,21.0,,
Puerto Rico S,2026-07-20 12:00:00,89,27.0,0.0,21.0,0.9,150.0
Puerto Rico S,2026-07-20 12:00:00,92,26.0,0.0,24.0,0.6,124.0
Puerto Rico S,2026-07-20 12:00:00,95,26.0,0.0,30.0,0.9,60.0
Puerto Rico S,2026-07-20 12:00:00,98,36.0,0.0,34.0,1.3,347.0
Puerto Rico S,2026-07-20 12:00:00,101,36.0,0.0,34.0,1.2,350.0
Puerto Rico S,2026-07-20 12:00:00,104,36.0,0.0,27.0,1.1,344.0
Puerto Rico S,2026-07-20 12:00:00,107,36.0,0.0,22.0,1.3,310.0
Puerto Rico S,2026-07-20 12:00:00,110,26.0,0.0,22.0,1.5,270.0
Puerto Suárez,2026-07-20 08:00:00,3,35.0,0.0,32.0,5.5,350.0
Puerto Suárez,2026-07-20 08:00:00,6,36.0,0.0,37.0,6.3,340.0
